producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Medallones Congelados de Garbanzo Cebolla y Zapallo ARTICO 200 g 2 Uni... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1555789,"https://www.tiendainglesa.com.uy/supermercado/medallones-congelados-de-garbanzo-cebolla-y-zapallo-artico-200-g-2-unidades.producto?1555789,,42"
Medallones Congelados de Lentejas y Arroz Yamaní ARTICO 200 g 2 Unidad... en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1555801,"https://www.tiendainglesa.com.uy/supermercado/medallones-congelados-de-lentejas-y-arroz-yamani-artico-200-g-2-unidades.producto?1555801,,42"
Medallones de Carne x un.,artico,artico,,51,,,,,,,disco,137228,https://www.disco.com.uy/product/medallones-de-carne-x-un/137228
Medallones de Merluza ARTICO 1 kg,artico,artico,,483,,,,,,,disco,234771,https://www.disco.com.uy/product/medallones-de-merluza-artico-1-kg/234771
Medallones de Merluza ARTICO 150 g,artico,artico,,69,,,,,,,disco,233203,https://www.disco.com.uy/product/medallones-de-merluza-artico-150-g/233203
Medallones de Merluza con Espinaca TIENDA INGLESA 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,26141,"https://www.tiendainglesa.com.uy/supermercado/medallones-de-merluza-con-espinaca-tienda-inglesa-400-gr.producto?26141,,42&campaign=search_facets"
Medallones de Merluza con Espinaca y Queso SOLIMENO 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,316674,"https://www.tiendainglesa.com.uy/supermercado/medallones-de-merluza-con-espinaca-y-queso-solimeno-400-gr.producto?316674,,42&campaign=search_facets"
Medallones de merluza con jamón y queso 500 g,artico,artico,,250,,,,,,,disco,241703,https://www.disco.com.uy/product/medallones-de-merluza-con-jamon-y-queso-500-g/241703
Medallones de Merluza POLAR FOOD 400 g,artico,artico,,189,,,,,,,disco,235074,https://www.disco.com.uy/product/medallones-de-merluza-polar-food-400-g/235074
Medallones de Merluza POLAR FOOD 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1602754,"https://www.tiendainglesa.com.uy/supermercado/medallones-de-merluza-polar-food-400-gr.producto?1602754,,42&campaign=search_facets"
Medallones de Merluza Rebozados TIENDA INGLESA con 4 Unidades 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,26140,"https://www.tiendainglesa.com.uy/supermercado/medallones-de-merluza-rebozados-tienda-inglesa-con-4-unidades-400-gr.producto?26140,,42&campaign=search_facets"
Medallones de Pollo ARTICO x 4 Unidades 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1005109,"https://www.tiendainglesa.com.uy/supermercado/medallones-de-pollo-artico-x-4-unidades-300-gr.producto?1005109,,42"
Medallones de Pollo BAITA 700 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1599691,"https://www.tiendainglesa.com.uy/supermercado/medallones-de-pollo-baita-700-gr.producto?1599691,,42&campaign=search_facets"
Medallones De Pollo Congelados Artico 300 G,artico,artico,,175,175,,,,,,tata,157518,https://www.tata.com.uy/medallones-de-pollo-congelados-artico-300-g-157518/p
Medallones de Pollo Relleno de Jamón y Queso ARTICO 500 g,artico,artico,,279,,,,,,,disco,235055,https://www.disco.com.uy/product/medallones-de-pollo-relleno-de-jamon-y-queso-artico-500-g/235055
Medallones de pollo x un.,artico,artico,,30,,,,,,,disco,110170,https://www.disco.com.uy/product/medallones-de-pollo-x-un/110170
Medallones Entrecot Premium x 500 g,artico,artico,,293,585,,,,,,disco,301494,https://www.disco.com.uy/product/medallones-entrecot-premium-x-500-g/301494
Mejillón Media Valva ARTICO 400 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1097855,"https://www.tiendainglesa.com.uy/supermercado/mejillon-media-valva-artico-400-gr.producto?1097855,,42"
Mezcla para hamburguesas de soja TRISOJA 250 g,artico,artico,,117,,,,,,,disco,735453,https://www.disco.com.uy/product/mezcla-para-hamburguesas-de-soja-trisoja-250-g/735453
Mezcla para milanesas de soja TRISOJA 250 g,artico,artico,,117,,,,,,,disco,735452,https://www.disco.com.uy/product/mezcla-para-milanesas-de-soja-trisoja-250-g/735452
Milanesa Artico De Merluza A La Romana Sin Espinas 500gr,artico,artico,,379,379,,,,,,eldorado,54151,https://www.eldorado.com.uy/milanesa-artico-de-merluza-a-la-romana-sin-espinas-500gr/p
Milanesa Artico De Merluza Finas Hierbas Sin Espinas 500gr,artico,artico,,379,379,,,,,,eldorado,54158,https://www.eldorado.com.uy/milanesa-artico-de-merluza-finas-hierbas-sin-espinas-500gr/p
Milanesa Bola Lomo Premium x 500 g,artico,artico,,273,545,,,,,,disco,301509,https://www.disco.com.uy/product/milanesa-bola-lomo-premium-x-500-g/301509
Milanesa crocante de merluza ÁRTICO 500 g,artico,artico,,279,,,,,,,disco,241813,https://www.disco.com.uy/product/milanesa-crocante-de-merluza-artico-500-g/241813
Milanesa de Jamón y Queso BESTFOOD 90 g,artico,artico,,30,,,,,,,disco,260062,https://www.disco.com.uy/product/milanesa-de-jamon-y-queso-bestfood-90-g/260062
Milanesa de merluza a la romana 500 g,artico,artico,,329,,,,,,,disco,390460,https://www.disco.com.uy/product/milanesa-de-merluza-a-la-romana-500-g/390460
Milanesa De Merluza Ártico 500 G,artico,artico,,418,418,,,,,,tata,8069,https://www.tata.com.uy/milanesa-de-merluza-artico-500-g-8069/p
Milanesa de merluza bolsa 500 g,artico,artico,,329,,,,,,,disco,390119,https://www.disco.com.uy/product/milanesa-de-merluza-bolsa-500-g/390119
Milanesa de merluza con salsa de queso 500 g,artico,artico,,329,,,,,,,disco,390271,https://www.disco.com.uy/product/milanesa-de-merluza-con-salsa-de-queso-500-g/390271
Milanesa de merluza crocante 500 g x unidad,artico,artico,,329,,,,,,,disco,390702,https://www.disco.com.uy/product/milanesa-de-merluza-crocante-500-g-x-unidad/390702
Milanesa de Merluza Crocante ARTICO 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,382626,"https://www.tiendainglesa.com.uy/supermercado/milanesa-de-merluza-crocante-artico-500-gr.producto?382626,,42"
Milanesa de Merluza en bandeja x 200 g,artico,artico,,160,799,,,,,,disco,110349,https://www.disco.com.uy/product/milanesa-de-merluza-en-bandeja-x-200-g/110349
Milanesa de Merluza Integral con Semillas x 350 g aprox,artico,artico,,175,499,,,,,,disco,390992,https://www.disco.com.uy/product/milanesa-de-merluza-integral-con-semillas-x-350-g-aprox/390992
Milanesa de nalga en bandeja x 450 g,artico,artico,,401,889,,,,,,disco,110151,https://www.disco.com.uy/product/milanesa-de-nalga-en-bandeja-x-450-g/110151
Milanesa De Nalga Tiernizada (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1095523,"https://www.tiendainglesa.com.uy/supermercado/milanesa-de-nalga-tiernizada-kg.producto?1095523,,42&campaign=search_facets"
MILANESA DE PECETO S SAL X KG Milanesa de peceto sin sal x 250g,artico,artico,,217,865,,,,,,disco,113001,https://www.disco.com.uy/product/milanesa-de-peceto-s-sal-x-kg-milanesa-de-peceto-sin-sal-x-250g/113001
Milanesa de pescado al dorado x 142 g,artico,artico,,112,799,,,,,,disco,111555,https://www.disco.com.uy/product/milanesa-de-pescado-al-dorado-x-142-g/111555
Milanesa De Pollo 500 G Congelados Artico,artico,artico,,325,325,,,,,,tata,157519,https://www.tata.com.uy/milanesa-de-pollo-500-g-congelados-artico-157519/p
Milanesa de pollo al pan x un.,artico,artico,,179,,,,,,,disco,110277,https://www.disco.com.uy/product/milanesa-de-pollo-al-pan-x-un/110277
Milanesa de pollo ARTICO 500 g,artico,artico,,269,,,,,,,disco,241441,https://www.disco.com.uy/product/milanesa-de-pollo-artico-500-g/241441
Milanesa de pollo AV. OESTE congelado rellena la abuelita al vacío x 1 kg,artico,artico,,670,,,,,,,disco,301996,https://www.disco.com.uy/product/milanesa-de-pollo-av-oeste-congelado-rellena-la-abuelita-al-vacio-x-1-kg/301996
Milanesa de pollo calinesa CALISA 440 g,artico,artico,,189,,,,,,,disco,241694,https://www.disco.com.uy/product/milanesa-de-pollo-calinesa-calisa-440-g/241694
Milanesa de pollo congelado La abuelita AV. OESTE al vacío x 1 kg,artico,artico,,579,,,,,,,disco,338596,https://www.disco.com.uy/product/milanesa-de-pollo-congelado-la-abuelita-av-oeste-al-vacio-x-1-kg/338596
Milanesa de pollo rellena Avícola del Oeste al vacío x 700 g,artico,artico,,455,,,,,,,disco,390004,https://www.disco.com.uy/product/milanesa-de-pollo-rellena-avicola-del-oeste-al-vacio-x-700-g/390004
Milanesa de pollo sin sal x 250g,artico,artico,,213,849,,,,,,disco,110562,https://www.disco.com.uy/product/milanesa-de-pollo-sin-sal-x-250g/110562
Milanesa de soja SOJAMIL 65 g,artico,artico,,42,,,,,,,disco,241792,https://www.disco.com.uy/product/milanesa-de-soja-sojamil-65-g/241792
Milanesa de soja VEGETALÉX 4 un.,artico,artico,,260,,,,,,,disco,235301,https://www.disco.com.uy/product/milanesa-de-soja-vegetalex-4-un/235301
Milanesa en 2 panes x un.,artico,artico,,279,,,,,,,disco,137080,https://www.disco.com.uy/product/milanesa-en-2-panes-x-un/137080
Milanesa en dos panes x un.,artico,artico,,389,,,,,,,disco,110351,https://www.disco.com.uy/product/milanesa-en-dos-panes-x-un/110351
Milanesa napolitana x 300g,artico,artico,,270,899,,,,,,disco,110462,https://www.disco.com.uy/product/milanesa-napolitana-x-300g/110462
Milanesa peceto Premium x 500 g,artico,artico,,298,595,,,,,,disco,301501,https://www.disco.com.uy/product/milanesa-peceto-premium-x-500-g/301501
Milanesa VEGETALEX Soja Especial Acelga 4 un.,artico,artico,,276,,,,,,,disco,235303,https://www.disco.com.uy/product/milanesa-vegetalex-soja-especial-acelga-4-un/235303
Milanesas Artico De Merluza 500Gr,artico,artico,,389,389,,,,,,eldorado,9830,https://www.eldorado.com.uy/milanesas-artico-de-merluza-500gr/p
Milanesas Cerdo al vacío CAMPOSUR x 700 g,artico,artico,,301,,,,,,,disco,374149,https://www.disco.com.uy/product/milanesas-cerdo-al-vacio-camposur-x-700-g/374149
Milanesas cerdo SCHNECK 6 un. 800 g,artico,artico,,325,541,,,,,,disco,258420,https://www.disco.com.uy/product/milanesas-cerdo-schneck-6-un-800-g/258420
Milanesas de Cerdo SCHNECK 700 g,artico,artico,,431,,,,,,,disco,242102,https://www.disco.com.uy/product/milanesas-de-cerdo-schneck-700-g/242102
Milanesas de Cerdo x 500 g,artico,artico,,170,340,,,,,,disco,310562,https://www.disco.com.uy/product/milanesas-de-cerdo-x-500-g/310562
Milanesas de Merluza a la romana sin sal 500 g,artico,artico,,329,,,,,,,disco,390967,https://www.disco.com.uy/product/milanesas-de-merluza-a-la-romana-sin-sal-500-g/390967
Milanesas de Merluza ARTICO 500 g,artico,artico,,279,,,,,,,disco,223697,https://www.disco.com.uy/product/milanesas-de-merluza-artico-500-g/223697
Milanesas de Merluza POLAR FOOD 500 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1602752,"https://www.tiendainglesa.com.uy/supermercado/milanesas-de-merluza-polar-food-500-gr.producto?1602752,,42&campaign=search_facets"
Milanesas de Merluza Romana Provenzal ARTICO 500 g,artico,artico,,279,,,,,,,disco,224691,https://www.disco.com.uy/product/milanesas-de-merluza-romana-provenzal-artico-500-g/224691
Milanesas de Nalga 500 g,artico,artico,,399,,,,,,,disco,222310,https://www.disco.com.uy/product/milanesas-de-nalga-500-g/222310
Milanesas de Nalga Premium x 500 g,artico,artico,,275,549,,,,,,disco,334733,https://www.disco.com.uy/product/milanesas-de-nalga-premium-x-500-g/334733
Milanesas de nalga x 500 g,artico,artico,,270,539,,,,,,disco,301232,https://www.disco.com.uy/product/milanesas-de-nalga-x-500-g/301232
Milanesas de pollo Avícola del Oeste x kg,artico,artico,,635,635,,,,,,disco,390002,https://www.disco.com.uy/product/milanesas-de-pollo-avicola-del-oeste-x-kg/390002
Milanesas de Pollo AVÍCOLAS DEL OESTE (6 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,396433,"https://www.tiendainglesa.com.uy/supermercado/milanesas-de-pollo-avicolas-del-oeste-6-un..producto?396433,,42&campaign=search_facets"
Milanesas de Pollo HOLIS 500 g,artico,artico,,329,,,,,,,disco,222311,https://www.disco.com.uy/product/milanesas-de-pollo-holis-500-g/222311
Milanesas de Pollo Rebozados BAITA 1 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1493401,"https://www.tiendainglesa.com.uy/supermercado/milanesas-de-pollo-rebozados-baita-1-kg.producto?1493401,,42"
Milanesas de pollo x 220 g,artico,artico,,187,849,,,,,,disco,110172,https://www.disco.com.uy/product/milanesas-de-pollo-x-220-g/110172
Milanesas de Soja Albahaca SOJAMIL 400 g,artico,artico,,345,,,,,,,disco,233224,https://www.disco.com.uy/product/milanesas-de-soja-albahaca-sojamil-400-g/233224
Milanesas de Soja Ciboulette SOJAMIL 400 g,artico,artico,,345,,,,,,,disco,233222,https://www.disco.com.uy/product/milanesas-de-soja-ciboulette-sojamil-400-g/233222
Milanesas de ternera un. x 600 g,artico,artico,,453,,,,,,,disco,300015,https://www.disco.com.uy/product/milanesas-de-ternera-un-x-600-g/300015
Milanesas x 500 g,artico,artico,,250,499,,,,,,disco,301241,https://www.disco.com.uy/product/milanesas-x-500-g/301241
Milanguesas SCHNECK x 2 un. 240 g,artico,artico,,148,,,,,,,disco,235067,https://www.disco.com.uy/product/milanguesas-schneck-x-2-un-240-g/235067
Mini Artico Croquetas De Jamon Y Queso 300gr,artico,artico,,117.75,157,,,,,,eldorado,55092,https://www.eldorado.com.uy/mini-artico-croquetas-de-jamon-y-queso-300gr/p
Mini croquetas de jamón y queso ÁRTICO 300 g,artico,artico,,165,,,,,,,disco,231074,https://www.disco.com.uy/product/mini-croquetas-de-jamon-y-queso-artico-300-g/231074
Mini croquetas espinaca y queso ÁRTICO 300 g,artico,artico,,165,,,,,,,disco,231073,https://www.disco.com.uy/product/mini-croquetas-espinaca-y-queso-artico-300-g/231073
Mini Croquetas Espinaca y Queso ARTICO 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1525136,"https://www.tiendainglesa.com.uy/supermercado/mini-croquetas-espinaca-y-queso-artico-300-gr.producto?1525136,,42"
Mini Croquetas Jamón y Queso ARTICO 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1525137,"https://www.tiendainglesa.com.uy/supermercado/mini-croquetas-jamon-y-queso-artico-300-gr.producto?1525137,,42"
Miniaturas de merluza 500 g,artico,artico,,379,,,,,,,disco,390388,https://www.disco.com.uy/product/miniaturas-de-merluza-500-g/390388
Mix de hojas orgánicas 200 g,artico,artico,,89,,,,,,,disco,480237,https://www.disco.com.uy/product/mix-de-hojas-organicas-200-g/480237
Mix De Mariscos Artico 1Kg Congelados,artico,artico,,425,425,,,,,,eldorado,10072,https://www.eldorado.com.uy/mix-de-mariscos-artico-1kg-congelados/p
Mix De Mariscos Artico 500 G,artico,artico,,299,299,,,,,,tata,136910,https://www.tata.com.uy/mix-de-mariscos-artico-500-g-136910/p
Molde empanada JUMBO x1,artico,artico,,229,,,,,,,disco,725013,https://www.disco.com.uy/product/molde-empanada-jumbo-x1/725013
Molde empanadas chicas,artico,artico,,25,,,,,,,disco,487670,https://www.disco.com.uy/product/molde-empanadas-chicas/487670
Molde para hamburguesas rellenas,artico,artico,,119,,,,,,,disco,549189,https://www.disco.com.uy/product/molde-para-hamburguesas-rellenas/549189
Moldes para empanadas x 3 un.,artico,artico,,119,,,,,,,disco,640720,https://www.disco.com.uy/product/moldes-para-empanadas-x-3-un/640720
Nugget Vegana Creamy KOKIRIKI 200 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1589526,"https://www.tiendainglesa.com.uy/supermercado/nugget-vegana-creamy-kokiriki-200-gr.producto?1589526,,42&campaign=search_facets"
Nuggets Crocantes Pollo SADIA 3 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,375693,"https://www.tiendainglesa.com.uy/supermercado/nuggets-crocantes-pollo-sadia-3-kg.producto?375693,,42&campaign=search_facets"
Nuggets crocantes SADIA 3 kg,artico,artico,,995,,,,,,,disco,230039,https://www.disco.com.uy/product/nuggets-crocantes-sadia-3-kg/230039
Nuggets crocantes SADIA 900 g,artico,artico,,338,,,,,,,disco,231488,https://www.disco.com.uy/product/nuggets-crocantes-sadia-900-g/231488
Nuggets de carne vacuna SCHNECK 1 kg,artico,artico,,499,,,,,,,disco,241096,https://www.disco.com.uy/product/nuggets-de-carne-vacuna-schneck-1-kg/241096
Nuggets de pollo crocante SADIA 300 g,artico,artico,,110,,,,,,,disco,230049,https://www.disco.com.uy/product/nuggets-de-pollo-crocante-sadia-300-g/230049
Nuggets de Pollo Crocante SADIA 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,14135,"https://www.tiendainglesa.com.uy/supermercado/nuggets-de-pollo-crocante-sadia-300-gr.producto?14135,,42&campaign=search_facets"
Nuggets de Pollo Crocantes POLAR FOOD 500 g,artico,artico,,169,,,,,,,disco,235100,https://www.disco.com.uy/product/nuggets-de-pollo-crocantes-polar-food-500-g/235100
Nuggets de Pollo Crocantes SADIA 900 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,341092,"https://www.tiendainglesa.com.uy/supermercado/nuggets-de-pollo-crocantes-sadia-900-gr.producto?341092,,42&campaign=search_facets"
Nuggets de Pollo en bandeja x 164 g,artico,artico,,60,369,,,,,,disco,110111,https://www.disco.com.uy/product/nuggets-de-pollo-en-bandeja-x-164-g/110111
Nuggets de Pollo POLAR FOOD Crocantes 500 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1590901,"https://www.tiendainglesa.com.uy/supermercado/nuggets-de-pollo-polar-food-crocantes-500-g.producto?1590901,,42&campaign=search_facets"
Nuggets de Pollo RICOSAURIOS 380 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1015428,"https://www.tiendainglesa.com.uy/supermercado/nuggets-de-pollo-ricosaurios-380-gr.producto?1015428,,42&campaign=search_facets"
Nuggets de Pollo TIENDA INGLESA (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,3928,"https://www.tiendainglesa.com.uy/supermercado/nuggets-de-pollo-tienda-inglesa-kg.producto?3928,,42"
Nuggets de Queso con Chile Leduc 250 g,artico,artico,,269,,,,,,,disco,237232,https://www.disco.com.uy/product/nuggets-de-queso-con-chile-leduc-250-g/237232
Nuggets Non Pollo ARTICO 300 g,artico,artico,,229,,,,,,,disco,235053,https://www.disco.com.uy/product/nuggets-non-pollo-artico-300-g/235053
Nuggets Plant Based Artico 300 Gr,artico,artico,,229,229,,,,,,tata,170101,https://www.tata.com.uy/nuggets-plant-based-artico-300-gr-170101/p
Nuggets Pollo SEARA 900 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,418085,"https://www.tiendainglesa.com.uy/supermercado/nuggets-pollo-seara-900-gr.producto?418085,,42&campaign=search_facets"
Nuggets SADIA Golden Chicken Picante 700 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1524037,"https://www.tiendainglesa.com.uy/supermercado/nuggets-sadia-golden-chicken-picante-700-gr.producto?1524037,,42&campaign=search_facets"
Nuggets SEARA 900 g,artico,artico,,400,,,,,,,disco,234240,https://www.disco.com.uy/product/nuggets-seara-900-g/234240
Ñoquis de Papa Congelados LOS ABUELOS 1 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,379101,"https://www.tiendainglesa.com.uy/supermercado/noquis-de-papa-congelados-los-abuelos-1-kg.producto?379101,,42&campaign=search_facets"
Oliva bar,artico,artico,,1190,,,,,,,disco,241968,https://www.disco.com.uy/product/oliva-bar/241968
Pack 40 Tapas de Empanadas Hojaldradas 5 ESTRELLAS 1.1 Kg,artico,artico,,385,,,,,,,disco,231206,https://www.disco.com.uy/product/pack-40-tapas-de-empanadas-hojaldradas-5-estrellas-1-1-kg/231206
Pack AVANTI tapa empanada horno hojaldrada 40 un.,artico,artico,,405,,,,,,,disco,259641,https://www.disco.com.uy/product/pack-avanti-tapa-empanada-horno-hojaldrada-40-un/259641
Pack inversión HAMBY 24 un. 1.68 kg,artico,artico,,539,969,,,,,,disco,234001,https://www.disco.com.uy/product/pack-inversion-hamby-24-un-1-68-kg/234001
Pack Pali CHIPS + Maní CHIPS 300 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,58405,"https://www.tiendainglesa.com.uy/supermercado/pack-pali-chips-mas-mani-chips-300-g.producto?58405,,42&campaign=RM-clkvis4P3ZFiSJmPIOmBeJZlzSQ9hZYEdFvPFt6FJvcfMIYyMPPTxBCniXAObQNaiAUlcnGG6VPrE2bYvpZaY6hakGlGgxngl5KWYOKBtgFr0ykGMznft4pRPeRYQe5VzdIveYEnQvIZ8y3yk8888d4i9EoWAmhzaIpDJdvKzx53JHUSXYDnJh2z8QVGHjQ0vo4ma9ze"
Palta Hass (1 un.) en Tienda Inglesa,artico,artico,,99,,,,,,,tiendainglesa,25213,"https://www.tiendainglesa.com.uy/supermercado/palta-hass-1-un..producto?25213,,42&campaign=search_facets"
Pan de Ajo Tradicional Polar Food 300 g,artico,artico,,165,,,,,,,disco,241496,https://www.disco.com.uy/product/pan-de-ajo-tradicional-polar-food-300-g/241496
Pan Rallado con Condimento Rebozador EL TRIGAL 450 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,368378,"https://www.tiendainglesa.com.uy/supermercado/pan-rallado-con-condimento-rebozador-el-trigal-450-gr.producto?368378,,42"
Pan rallado LOS SORCHANTES 400 g,artico,artico,,125,,,,,,,disco,346268,https://www.disco.com.uy/product/pan-rallado-los-sorchantes-400-g/346268
Pan rallado MORIXE 500 g,artico,artico,,90,,,,,,,disco,346094,https://www.disco.com.uy/product/pan-rallado-morixe-500-g/346094
Pan Rallado Rebozador sin Sal EL TRIGAL 450 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,370738,"https://www.tiendainglesa.com.uy/supermercado/pan-rallado-rebozador-sin-sal-el-trigal-450-gr.producto?370738,,42"
Papa al vapor EATZEN 500 g,artico,artico,,149,,,,,,,disco,441026,https://www.disco.com.uy/product/papa-al-vapor-eatzen-500-g/441026
Papa Bastón Congeladas MC CAIN Golden Long 1 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,332309,"https://www.tiendainglesa.com.uy/supermercado/papa-baston-congeladas-mc-cain-golden-long-1-kg.producto?332309,,42"
"Papa Blanca malla apro x 1,5 kg",artico,artico,,109,164,,,,,,disco,450036,https://www.disco.com.uy/product/papa-blanca-malla-apro-x-1-5-kg/450036
Papa pelada Club Verde 500 g,artico,artico,,89,,,,,,,disco,400475,https://www.disco.com.uy/product/papa-pelada-club-verde-500-g/400475
Papa Rosada Granel (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,46567,"https://www.tiendainglesa.com.uy/supermercado/papa-rosada-granel-kg.producto?46567,,42&campaign=search_facets"
"Papa Rosada Malla (Kg) Peso Aproximado de la Malla 1,5 Kg en Tienda Inglesa",artico,artico,,,,,,,,,tiendainglesa,25842,"https://www.tiendainglesa.com.uy/supermercado/papa-rosada-malla-kg-peso-aproximado-de-la-malla-1-5-kg.producto?25842,,42"
Papa y zanahoria cortada 400 g,artico,artico,,79,,,,,,,disco,400860,https://www.disco.com.uy/product/papa-y-zanahoria-cortada-400-g/400860
Papas a la Crema TIENDA INGLESA (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,792,"https://www.tiendainglesa.com.uy/supermercado/papas-a-la-crema-tienda-inglesa-kg.producto?792,,42"
Papas al Horno TIENDA INGLESA (Kg) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,340855,"https://www.tiendainglesa.com.uy/supermercado/papas-al-horno-tienda-inglesa-kg.producto?340855,,42"
Papas al natural LORENZ paprika 100 g,artico,artico,,145,181,,,,,,disco,346050,https://www.disco.com.uy/product/papas-al-natural-lorenz-paprika-100-g/346050
Papas Bastón Congeladas SIMPLOT 2 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,409147,"https://www.tiendainglesa.com.uy/supermercado/papas-baston-congeladas-simplot-2-kg.producto?409147,,42"
PAPAS Baston Corte Tradicional SIMPLOT 700 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,407514,"https://www.tiendainglesa.com.uy/supermercado/papas-baston-corte-tradicional-simplot-700-g.producto?407514,,42"
Papas Bastón LAMBWESTON 2.5 kg,artico,artico,,439,,,,,,,disco,235487,https://www.disco.com.uy/product/papas-baston-lambweston-2-5-kg/235487
"Papas bastón OERLEMANS 2,5 kg",artico,artico,,433,,,,,,,disco,236108,https://www.disco.com.uy/product/papas-baston-oerlemans-2-5-kg/236108
Papas Baston Tradicional MC CAIN 700 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,178897,"https://www.tiendainglesa.com.uy/supermercado/papas-baston-tradicional-mc-cain-700-gr.producto?178897,,42"
Papas Congeladas WERNSING 600 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1579246,"https://www.tiendainglesa.com.uy/supermercado/papas-congeladas-wernsing-600-gr.producto?1579246,,42"
"Papas Corte Fino MC CAIN 2,25 Kg en Tienda Inglesa",artico,artico,,,,,,,,,tiendainglesa,375065,"https://www.tiendainglesa.com.uy/supermercado/papas-corte-fino-mc-cain-2-25-kg.producto?375065,,42"
Papas Corte Tradicional POLAR FOOD 2 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1577622,"https://www.tiendainglesa.com.uy/supermercado/papas-corte-tradicional-polar-food-2-kg.producto?1577622,,42"
Papas dippers WERSING 600 g,artico,artico,,211,,,,,,,disco,241858,https://www.disco.com.uy/product/papas-dippers-wersing-600-g/241858
Papas estrellitas OERLEMANS 750 g,artico,artico,,214,,,,,,,disco,234059,https://www.disco.com.uy/product/papas-estrellitas-oerlemans-750-g/234059
Papas Fritas Bastón Congeladas OERLEMANS 1 Kg en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,207,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-baston-congeladas-oerlemans-1-kg.producto?207,,42"
Papas Fritas Campesinas ACHO 120 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,341694,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-campesinas-acho-120-gr.producto?341694,,42"
Papas Fritas Clásicas LAY'S 133 g en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,329252,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-clasicas-lays-133-g.producto?329252,,42"
Papas Fritas con Limón y Pimienta ACHO 120 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,341693,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-con-limon-y-pimienta-acho-120-gr.producto?341693,,42"
Papas Fritas LAY'S Rusticas Hierbas y Limón 100 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1566786,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-lays-rusticas-hierbas-y-limon-100-gr.producto?1566786,,42"
Papas Fritas LAY'S sin Sal Agregada 86 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,15364,"https://www.tiendainglesa.com.uy/supermercado/papas-fritas-lays-sin-sal-agregada-86-gr.producto?15364,,42"
