producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Empanada copetin carne y aceitunas x un.,artico,artico,,499,,,,,,,disco,137508,https://www.disco.com.uy/product/empanada-copetin-carne-y-aceitunas-x-un/137508
Empanada de carne 2 un. HELIX (sin glúten),artico,artico,,285,,,,,,,disco,137655,https://www.disco.com.uy/product/empanada-de-carne-2-un-helix-sin-gluten/137655
Empanada de carne chilena x un.,artico,artico,,99,,,,,,,disco,137408,https://www.disco.com.uy/product/empanada-de-carne-chilena-x-un/137408
Empanada de carne con aceitunas x un.,artico,artico,,99,,,,,,,disco,137484,https://www.disco.com.uy/product/empanada-de-carne-con-aceitunas-x-un/137484
Empanada de carne x un.,artico,artico,,89,,,,,,,disco,137833,https://www.disco.com.uy/product/empanada-de-carne-x-un/137833
Empanada de jamón y queso para copetín x 12 un.,artico,artico,,499,,,,,,,disco,137509,https://www.disco.com.uy/product/empanada-de-jamon-y-queso-para-copetin-x-12-un/137509
Empanada de jamón y queso x un.,artico,artico,,89,,,,,,,disco,137487,https://www.disco.com.uy/product/empanada-de-jamon-y-queso-x-un/137487
Empanada de pollo x un.,artico,artico,,99,,,,,,,disco,137611,https://www.disco.com.uy/product/empanada-de-pollo-x-un/137611
Empanada de queso y aceituna x un.,artico,artico,,99,,,,,,,disco,137576,https://www.disco.com.uy/product/empanada-de-queso-y-aceituna-x-un/137576
Empanada de verdura x un.,artico,artico,,99,,,,,,,disco,137504,https://www.disco.com.uy/product/empanada-de-verdura-x-un/137504
Empanada integral de verdura x un.,artico,artico,,115,,,,,,,disco,137406,https://www.disco.com.uy/product/empanada-integral-de-verdura-x-un/137406
Empanada jamón y queso,artico,artico,,89,,,,,,,disco,137615,https://www.disco.com.uy/product/empanada-jamon-y-queso/137615
Empanada pollo HAMBY 9 un.,artico,artico,,512,,,,,,,disco,234165,https://www.disco.com.uy/product/empanada-pollo-hamby-9-un/234165
Empanada TIENDA INGLESA Capresse (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,81204,"https://www.tiendainglesa.com.uy/supermercado/empanada-tienda-inglesa-capresse-1-un..producto?81204,,42"
Empanada TIENDA INGLESA Carne Suave (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,81202,"https://www.tiendainglesa.com.uy/supermercado/empanada-tienda-inglesa-carne-suave-1-un..producto?81202,,42"
Empanada TIENDA INGLESA Jamón y Queso (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1022654,"https://www.tiendainglesa.com.uy/supermercado/empanada-tienda-inglesa-jamon-y-queso-1-un..producto?1022654,,42"
Empanada TIENDA INGLESA Pollo (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,2073,"https://www.tiendainglesa.com.uy/supermercado/empanada-tienda-inglesa-pollo-1-un..producto?2073,,42"
Empanada TIENDA INGLESA Queso y Cebolla (1 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,2074,"https://www.tiendainglesa.com.uy/supermercado/empanada-tienda-inglesa-queso-y-cebolla-1-un..producto?2074,,42"
